1 3.886u 0.054s 3.94 99.7% 0+0k 0+0io 0pf+0w
2 2.031u 0.052s 2.08 100.0% 0+0k 0+0io 0pf+0w
3 1.391u 0.051s 1.44 100.0% 0+0k 0+0io 0pf+0w
4 0.988u 0.051s 1.04 99.0% 0+0k 0+0io 0pf+0w
5 0.818u 0.050s 0.86 100.0% 0+0k 0+0io 0pf+0w
6 0.701u 0.050s 0.75 100.0% 0+0k 0+0io 0pf+0w
7 0.620u 0.050s 0.67 100.0% 0+0k 0+0io 0pf+0w
8 0.538u 0.053s 0.59 98.3% 0+0k 0+0io 0pf+0w
12 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
16 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
24 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
32 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
48 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
64 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
96 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
128 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
192 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
256 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
384 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
512 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
768 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
1024 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
1536 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
2048 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
3072 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
4096 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
6144 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
8192 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
12288 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
16384 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
24576 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
32768 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
49152 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
65536 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
98304 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
131072 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
196608 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
262144 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
393216 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
524288 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
786432 0.000u 0.000s 0.00 0.0% 0+0k 0+0io 0pf+0w
